SPO,IP,Med Consumer-Directed Care,State
N,N,"LTSS Waiver Only, No IP",Alabama
?,N,"SPO and LTSS Waiver, No IP",Alaska
N,Y,LTSS Waiver Only with IP,Arizona
N,N,"SPO and LTSS Waiver, No IP",Arkansas
N,Y,"SPO, LTSS Waiver, IP",California
N,N,"LTSS Waiver Only, No IP",Colorado
N,N,"LTSS Waiver Only, No IP",Connecticut
N,N,"LTSS Waiver Only, No IP",Delaware
N,N,No IP,District of Columbia
N,Y,"SPO, LTSS waiver, IP",Florida
N,N,"LTSS Waiver Only, No IP",Georgia
Y,Y,"SPO, LTSS waiver, IP",Hawaii
Y,N,"LTSS Waiver Only, No IP",Idaho
N,Y,LTSS Waiver Only with IP,Illinois
N,N,"LTSS Waiver Only, No IP",Indiana
Y,Y,"SPO, LTSS waiver, IP",Iowa
Y,Y,LTSS Waiver Only with IP,Kansas
N,Y,LTSS Waiver Only with IP,Kentucky
Y,Y,"SPO, LTSS waiver, IP",Louisiana
Y,Y,LTSS Waiver Only with IP,Maine
Y,Y,"SPO, LTSS waiver, IP",Maryland
Y,Y,"SPO, LTSS waiver, IP",Massachusetts
Y,Y,"SPO, LTSS waiver, IP",Michigan
Y,Y,"SPO, LTSS waiver, IP",Minnesota
N,Y,LTSS Waiver Only with IP,Mississippi
Y,Y,"SPO, LTSS waiver, IP",Missouri
Y,Y,"SPO, LTSS waiver, IP",Montana
Y,Y,"SPO, LTSS waiver, IP",Nebraska
Y,Y,"SPO, LTSS waiver, IP",Nevada
Y,Y,"SPO, LTSS waiver, IP",New Hampshire
Y,N,"SPO and LTSS Waiver, No IP",New Jersey
Y,Y,"SPO, LTSS waiver, IP",New Mexico
Y,Y,"SPO, LTSS waiver, IP",New York
Y,Y,"SPO, LTSS waiver, IP",North Carolina
Y,Y,"SPO, LTSS waiver, IP",North Dakota
N,Y,LTSS Waiver Only with IP,Ohio
Y,Y,"SPO, LTSS waiver, IP",Oklahoma
Y,Y,"SPO, LTSS waiver, IP",Oregon
N,Y,LTSS Waiver Only with IP,Pennsylvania
Y,N,"LTSS Waiver Only, No IP",Rhode Island
N,Y,LTSS Waiver Only with IP,South Carolina
Y,N,"SPO and LTSS Waiver, No IP",South Dakota
Y,Y,"SPO, LTSS waiver, IP",Tennessee
Y,N,"SPO and LTSS Waiver, No IP",Texas
Y,N,"SPO and LTSS Waiver, No IP",Utah
Y,Y,"SPO, LTSS waiver, IP",Vermont
N,N,"LTSS Waiver Only, No IP",Virginia
Y,Y,"SPO, LTSS waiver, IP",Washington
Y,Y,"SPO, LTSS waiver, IP",West Virginia
Y,Y,"SPO, LTSS waiver, IP",Wisconsin
N,Y,LTSS Waiver Only with IP,Wyoming
